T_MeV,sigma_GeV3,mq_GeV,uv_residual,ir_residual
189.0,0.05796858087217477,0.055,0.0,1.0835943253795222e-10
190.0,0.05570078279583455,0.055,-5.4569682106375694e-12,2.3704738172369844e-10
191.0,0.053181156224900786,0.055,7.275957614183426e-12,5.996310115108372e-10
192.0,0.050337420236576495,0.055,-5.4569682106375694e-12,1.7404213625837883e-9
193.0,0.047061926606072384,0.055,4.547473508864641e-12,5.73880032384011e-9
194.0,0.04319446376748691,0.055,-3.637978807091713e-12,-1.5687451337953462e-13
195.0,0.03853721655440315,0.055,3.637978807091713e-12,-2.80242495875882e-12
196.0,0.033135397451459096,0.055,2.7284841053187847e-12,-4.894973315572315e-13
197.0,0.027990247415125208,0.055,-3.637978807091713e-12,1.9805990181254174e-11
198.0,0.024145716527010266,0.055,-4.547473508864641e-13,6.379841099857231e-12
199.0,0.021445240710305652,0.055,2.2737367544323206e-12,1.0813572259849025e-11
200.0,0.019465002313455458,0.055,-2.2737367544323206e-12,-2.7228774790444277e-12
201.0,0.01793523740660623,0.055,-2.2737367544323206e-12,-1.2977952046355767e-12
202.0,0.016703547302489834,0.055,-2.7284841053187847e-12,-2.722266856380884e-13
203.0,0.015680449191870206,0.055,1.3642420526593924e-12,-1.2759238110504612e-12
203.99999999999997,0.014810210641476858,0.055,-2.2737367544323206e-13,-3.414490912234669e-13
204.99999999999997,0.014056193560416274,0.055,-2.0463630789890885e-12,5.261346913698617e-13
205.99999999999997,0.013393188468167103,0.055,4.547473508864641e-13,-4.698738759190135e-9
206.99999999999997,0.012803196768161525,0.055,-9.094947017729282e-13,-3.066383674754647e-9
208.0,0.012272940255659755,0.055,1.5916157281026244e-12,-2.039984708934739e-9
209.0,0.011792376398505661,0.055,6.821210263296962e-13,-1.3833470202673226e-9
210.0,0.011353734640026649,0.055,-4.547473508864641e-13,-9.511544885043577e-10
211.0,0.010950887999809037,0.055,6.821210263296962e-13,-6.686950437817529e-10
212.0,0.010578924706010651,0.055,-2.2737367544323206e-13,-4.751206927888774e-10
213.0,0.010233850586496127,0.055,9.094947017729282e-13,-3.431517014984564e-10
214.0,0.009912376740283158,0.055,4.547473508864641e-13,-2.482519190216692e-10
215.0,0.009611764066477303,0.055,9.094947017729282e-13,-1.8592119510607574e-10
216.0,0.00932970971037252,0.055,-1.3642420526593924e-12,-1.3910064766697872e-10
217.0,0.009064258678939206,0.055,4.547473508864641e-13,-1.0351899892846461e-10
218.0,0.008813739590612176,0.055,-1.1368683772161603e-13,-7.864617290742615e-11
219.0,0.008576712070558575,0.055,-2.2737367544323206e-13,-6.071837477250597e-11
220.0,0.00835192691190596,0.055,2.2737367544323206e-13,-4.6174786216823804e-11
221.0,0.00813829418461571,0.055,0.0,-3.5877606441303556e-11
222.0,0.007934857631013979,0.055,-1.1368683772161603e-13,-2.8795354989341604e-11
223.0,0.0077407739992169594,0.055,-2.2737367544323206e-13,-2.2361223983580203e-11
224.0,0.0075552960919899655,0.055,-4.547473508864641e-13,-1.821970352366975e-11
225.0,0.0073777591796928745,0.055,-5.684341886080801e-13,-1.4594964126146692e-11
226.0,0.007207568962950948,0.055,-4.547473508864641e-13,-1.1107503805618535e-11
227.0,0.007044192860525238,0.055,2.2737367544323206e-13,-9.237971498876618e-12
228.0,0.006887151460713613,0.055,0.0,-7.2605810252923675e-12
229.0,0.006736011664137693,0.055,-3.410605131648481e-13,-5.301592498341279e-12
230.0,0.00659038146737623,0.055,-1.1368683772161603e-13,-4.238887019170079e-12
231.0,0.006449904507015261,0.055,-6.821210263296962e-13,-3.755162847340898e-12
232.0,0.006314256627487466,0.055,-3.410605131648481e-13,-2.9935776080236565e-12
233.0,0.00618314122065487,0.055,4.547473508864641e-13,-1.8503809595671328e-12
234.0,0.00605628736592514,0.055,-7.958078640513122e-13,-2.418204525511669e-12
234.99999999999997,0.0059334460490769545,0.055,5.684341886080802e-14,-1.405112137753406e-12
235.99999999999997,0.005814388381159084,0.055,1.7053025658242404e-13,-1.6708023853340137e-12
236.99999999999997,0.005698903679951722,0.055,0.0,-1.0257628080267978e-12
237.99999999999997,0.0055867974358863115,0.055,2.2737367544323206e-13,-9.63146229437939e-13
238.99999999999997,0.0054778891690717806,0.055,-1.1368683772161603e-13,-8.796297024105115e-13
240.0,0.0053720124999681275,0.055,1.1368683772161603e-13,-9.345024754026099e-13
241.0,0.0052690123520070554,0.055,-1.7053025658242404e-13,-3.8928582579700333e-13
242.0,0.005168744786038698,0.055,-5.684341886080802e-14,-6.480371794737039e-13
243.0,0.005071075918101216,0.055,2.8421709430404007e-13,-6.320638457069094e-13
244.0,0.0049758805034886295,0.055,-5.684341886080802e-14,-4.995309721422814e-13
245.0,0.004883042170379766,0.055,3.410605131648481e-13,-5.179745521388668e-13
246.0,0.004792451518107704,0.055,2.8421709430404007e-13,-3.0894731217756544e-13
247.0,0.004704006502214248,0.055,-2.8421709430404007e-13,3.512606872035917e-13
248.0,0.004617611059527857,0.055,-5.684341886080802e-14,-2.8191338152794287e-13
249.0,0.004533175567772989,0.055,-2.8421709430404007e-13,-7.743805596760467e-14
250.0,0.004450615536441623,0.055,5.684341886080802e-14,1.659783421814609e-14
251.0,0.004369851199550405,0.055,0.0,-1.6311951789305112e-13
252.0,0.004290807838733169,0.055,0.0,-2.858963066287856e-13
253.0,0.004213414949562045,0.055,2.2737367544323206e-13,-1.249972347849848e-13
254.0,0.004137605726082054,0.055,-1.1368683772161603e-13,1.0116907311896739e-14
255.0,0.0040633175674979535,0.055,0.0,7.77572450871844e-14
256.0,0.003990490591638583,0.055,0.0,3.6523561952606087e-13
257.0,0.00391906887470527,0.055,1.7053025658242404e-13,-2.3120394487818885e-14
258.0,0.0038489987229960022,0.055,-2.842170943040401e-14,-2.558092626614439e-13
259.0,0.0037802296688322743,0.055,2.842170943040401e-14,-3.4371117063614065e-13
260.0,0.003712714187065235,0.055,2.842170943040401e-14,-1.4040157925165886e-13
261.0,0.0036464064236868357,0.055,-2.2737367544323206e-13,2.2316870573746428e-13
262.0,0.003581262848915637,0.055,1.4210854715202004e-13,1.619537837171947e-13
263.0,0.0035172427628102944,0.055,5.684341886080802e-14,9.71445146547012e-16
264.0,0.003454306619032365,0.055,5.684341886080802e-14,-8.376632720796806e-14
265.0,0.003392417364170197,0.055,-8.526512829121202e-14,-2.706168622523819e-13
266.0,0.0033315394175042153,0.055,1.7053025658242404e-13,-2.0608514894604468e-14
267.0,0.0032716390797083517,0.055,0.0,-1.7275070263167436e-13
268.0,0.003212683296995394,0.055,1.4210854715202004e-13,-1.6829593274536592e-13
269.0,0.003154642042292927,0.055,1.9895196601282805e-13,1.8433865545119943e-13
270.0,0.0030974854874227927,0.055,1.1368683772161603e-13,-4.6282422339061213e-14
271.0,0.003041185485856354,0.055,0.0,6.730727086790012e-14
272.0,0.0029857147674183884,0.055,0.0,-2.2343238370581275e-13
273.0,0.0029310479624854334,0.055,-2.2737367544323206e-13,-6.934730567564884e-14
274.0,0.0028771599804154483,0.055,-1.1368683772161603e-13,5.473399511402022e-14
275.0,0.0028240275440387717,0.055,-1.7053025658242404e-13,6.994405055138486e-15
276.0,0.0027716272945990813,0.055,-8.526512829121202e-14,-1.7813528430110637e-13
277.0,0.002719938264849029,0.055,-1.1368683772161603e-13,-1.74721348500384e-14
278.0,0.0026689389694884457,0.055,-8.526512829121202e-14,-2.5673907444456745e-14
279.0,0.0026186096891127764,0.055,2.842170943040401e-14,-1.4314938123760612e-13
280.0,0.0025689307648384886,0.055,-4.263256414560601e-14,2.1593837828959295e-13
281.0,0.0025198842481039077,0.055,0.0,8.545941732052142e-14
281.99999999999994,0.0024714517176501406,0.055,4.263256414560601e-14,-7.931155732165962e-14
282.99999999999994,0.0024236165536510247,0.055,2.842170943040401e-14,-4.5255466041282943e-14
283.99999999999994,0.0023763619399792967,0.055,-1.4210854715202004e-14,2.7228219678931964e-14
284.99999999999994,0.0023296723940789705,0.055,-4.263256414560601e-14,6.5503158452884236e-15
285.99999999999994,0.0022835322105481896,0.055,-7.105427357601002e-14,1.0717815523975105e-13
286.99999999999994,0.002237927068179428,0.055,-1.4210854715202004e-14,-2.4952262478450393e-14
288.0,0.0021928426484584184,0.055,-7.105427357601002e-14,2.108035968007016e-14
289.0,0.002148265133674007,0.055,1.4210854715202004e-14,-8.491818359601666e-14
290.0,0.002104181511124285,0.055,0.0,2.6367796834847468e-15
291.0,0.002060579045694287,0.055,5.684341886080802e-14,-3.269606807521086e-14
292.0,0.002017445340158809,0.055,4.263256414560601e-14,-3.229361222878424e-14
293.0,0.001974768840605781,0.055,7.105427357601002e-14,-6.812606034856117e-14
294.0,0.0019325378014748238,0.055,1.4210854715202004e-14,-3.594347042223944e-15
295.0,0.0018907411583729058,0.055,-4.263256414560601e-14,9.181544413650045e-14
296.0,0.0018493684695360063,0.055,-5.684341886080802e-14,-4.184153024056059e-14
297.0,0.001808408990762631,0.055,7.105427357601002e-14,6.281086761816823e-14
298.0,0.0017678529796874025,0.055,4.263256414560601e-14,5.495603971894525e-15
299.0,0.0017276908368633293,0.055,9.947598300641403e-14,5.2791104820926193e-14
300.0,0.0016879133938459989,0.055,4.263256414560601e-14,-3.011479954295737e-15
