source,T_MeV,sigma_GeV3,free_energy,residual_norm
bk_s_curve,94.41427036251928,-0.016356286715661226,-0.0028484352674682297,2.0207724382714787e-12
bk_s_curve,94.26853526479938,-0.016370485989950105,-0.0028659906981666214,5.713152173569824e-12
bk_s_curve,94.12352015607273,-0.01638452798902333,-0.0028834814094461977,2.6161572908023345e-12
bk_s_curve,93.97921966529731,-0.016398414749546113,-0.0029009067768071797,3.883032784202101e-12
bk_s_curve,93.83562846856782,-0.016412148277240704,-0.0029182661906880353,2.129268983352972e-12
bk_s_curve,93.69274128876944,-0.016425730547421052,-0.0029355590563275424,5.520583989948591e-12
bk_s_curve,93.55055289522942,-0.016439163505517558,-0.0029527847936278323,1.5311640844117846e-12
bk_s_curve,93.40905810336642,-0.016452449067592297,-0.002969942837017104,1.213334988037218e-12
bk_s_curve,93.26825177434114,-0.016465589120845083,-0.002987032635313284,2.050443148604586e-12
bk_s_curve,93.12812881470353,-0.016478585524109628,-0.003004053651587786,1.9420853814011707e-12
bk_s_curve,92.98868417603781,-0.016491440108340003,-0.0030210053630281156,2.901456852555384e-12
bk_s_curve,92.84991285461024,-0.01650415467708934,-0.00303788726080307,1.3947731858365842e-12
bk_s_curve,92.71180989101215,-0.01651673100697788,-0.0030546988499261475,1.208921851514333e-12
bk_s_curve,92.5743703698056,-0.01652917084815422,-0.003071439649119842,4.813316412111135e-12
bk_s_curve,92.43758941916711,-0.01654147592474632,-0.0030881091906814102,4.092559624524483e-12
bk_s_curve,92.3014622105312,-0.016553647935304942,-0.0031047070203463452,4.1536496464544825e-12
bk_s_curve,92.16598395823314,-0.016565688553238388,-0.003121232697154775,2.146921529444512e-12
bk_s_curve,92.03114991915496,-0.0165775994272401,-0.0031376857933166544,6.048495038157853e-13
bk_s_curve,91.89695539236877,-0.016589382181707735,-0.0031540658940782725,1.488947853900413e-12
bk_s_curve,91.7633957187797,-0.016601038417153276,-0.003170372597587447,4.231032191270856e-12
bk_s_curve,91.63046628077295,-0.01661256971060802,-0.0031866055147614218,1.1193546090026985e-12
