T_MeV,stable_sigma_GeV3,stable_free_energy,candidate_count,sigma_branch1_GeV3,free_energy_branch1,sigma_branch2_GeV3,free_energy_branch2,sigma_branch3_GeV3,free_energy_branch3,sigma_branch4_GeV3,free_energy_branch4,sigma_branch5_GeV3,free_energy_branch5,sigma_branch6_GeV3,free_energy_branch6,sigma_branch7_GeV3,free_energy_branch7,sigma_branch8_GeV3,free_energy_branch8,sigma_branch9_GeV3,free_energy_branch9
185.0,-2.2853540304308506e-95,-2.0593833485908895e-191,1.0,1.0645794857e-313,0.0,1.350855716e-314,0.0,8.726582605e-314,0.0,5.810549438e-314,0.0,0.0,0.0,-9.9925650384e-314,0.0,-4.3407709828e-314,0.0,-1.5277921068179634e-95,2.901372344324437e-191,-2.2853540304308506e-95,-2.0593833485908895e-191
186.0,5.679139199248831e-109,-1.2806543258438851e-216,1.0,-2.6041131864e-314,0.0,-3.2610437987e-314,0.0,2.1262511453e-314,0.0,9.150381553e-314,0.0,0.0,0.0,9.775477563e-315,0.0,1.04925809263e-313,0.0,5.679139199248831e-109,-1.2806543258438851e-216,4.639915273613091e-108,-1.0637332086585622e-216
187.0,-1.966986390067977e-120,-1.1040398579418364e-241,1.0,6.318002497e-314,0.0,7.9700723685e-314,0.0,-5.1778740023e-314,0.0,1.4586976285e-314,0.0,0.0,0.0,-2.282198228e-314,0.0,-1.789335168e-314,0.0,-1.7852870368932828e-120,1.952190815788011e-242,-1.966986390067977e-120,-1.1040398579418364e-241
188.0,-2.3129038469750935e-134,-3.311965950053948e-269,1.0,8.5786769926e-314,0.0,4.6521327772e-314,0.0,-1.1459850264e-313,0.0,-3.518730577e-314,0.0,0.0,0.0,5.484753376e-314,0.0,4.2398309464e-314,0.0,-2.3129038469750935e-134,-3.311965950053948e-269,3.197433291156109e-133,4.516355297978809e-268
189.0,-1.5465787096893197e-146,-2.3033364641617852e-293,1.0,3.5685398043e-314,0.0,-1.1272650611e-313,0.0,3.4303083867e-314,0.0,8.4845771054e-314,0.0,0.0,0.0,1.10715566056e-313,0.0,-1.0267097336e-313,0.0,-1.5465787096893197e-146,-2.3033364641617852e-293,-4.700660589472995e-146,4.122829373972989e-293
190.0,2.4185856972684302e-160,-4.2528e-319,1.0,-8.705765518e-314,0.0,2.6574772465e-314,0.0,-8.342570171e-314,0.0,4.117130523e-314,0.0,0.0,0.0,-2.0540864437e-314,0.0,9.589445e-316,0.0,1.1592531445527994e-159,-3.89166e-319,2.4185856972684302e-160,-4.2528e-319
191.0,-7.122505497283211e-172,0.0,1.0,-4.0450368547e-314,0.0,-6.442443819e-314,0.0,-4.963620129e-314,0.0,-9.957517647e-314,0.0,0.0,0.0,4.9088210174e-314,0.0,-1.06901088e-315,0.0,6.012727456946685e-172,0.0,-7.122505497283211e-172,0.0
192.0,-2.5894630273765066e-184,0.0,1.0,9.77757799e-314,0.0,-9.9703270014e-314,0.0,1.2066698738e-313,0.0,-1.48434532e-314,0.0,0.0,0.0,-1.1932364046e-313,0.0,3.16264804e-315,0.0,5.550438361945347e-185,0.0,-2.5894630273765066e-184,0.0
193.0,-9.612557368210122e-197,0.0,1.0,2.2440966036e-314,0.0,-1.814258812e-314,0.0,-3.226669656e-314,0.0,3.6037925417e-314,0.0,0.0,0.0,3.01285765e-314,0.0,-7.580499307e-315,0.0,-9.612557368210122e-197,0.0,2.424974386849373e-197,0.0
194.0,-1.8365787643667684e-209,0.0,1.0,-5.45790841e-314,0.0,4.354757233e-314,0.0,7.720080987e-314,0.0,-8.718958417e-314,0.0,0.0,0.0,-7.333643073e-314,0.0,1.7257677753e-314,0.0,-1.8365787643667684e-209,0.0,-1.7831898467979668e-209,0.0
195.0,-9.593864276391845e-222,0.0,1.0,1.3388565101e-313,0.0,-1.0482913523e-313,0.0,8.083152687e-314,0.0,-5.520141829e-314,0.0,0.0,0.0,-9.0770904315e-314,0.0,-4.089932951e-314,0.0,-6.520101935411933e-222,0.0,-9.593864276391845e-222,0.0
